source,file,color,label,cpl_mean,cpl_median,cpl_variance,cpl_max,cpl_p90,zero_cpl_rate,top1_rate,top3_rate,top5_rate,max_consecutive_top1,cpl_opening,cpl_middlegame,cpl_endgame,varianza_eval,curtosis_eval,asimetria_eval,inversiones_ventaja,entropia_eval
legal,partida_121.pgn,white,0,268.4,56.0,212441.84,1189.0,741.0000000000001,0.2,0.2,0.2,0.4,1.0,69.0,0.0,424.3333333333333,101917.35999999999,-1.8158931687611635,0.39747535519803345,2.0,0.6730116670092565
legal,partida_121.pgn,black,0,162.25,83.5,35770.1875,482.0,372.20000000000005,0.25,0.25,0.25,0.25,1.0,51.0,482.0,58.0,227847.5,-1.5489110613572237,-0.326440568017877,1.0,1.0397207708399179
legal,partida_122.pgn,white,0,65.03846153846153,0.0,30516.72928994083,854.0,127.0,0.5769230769230769,0.5769230769230769,0.7692307692307693,0.8076923076923077,4.0,14.375,28.625,134.7,65596.98224852071,-0.11657527896458397,0.45583490722108516,2.0,2.397936543864097
legal,partida_122.pgn,black,0,85.88461538461539,0.0,60067.48668639054,1056.0,98.0,0.5769230769230769,0.5769230769230769,0.7692307692307693,0.8846153846153846,10.0,1.25,9.625,214.6,67520.16715976331,-0.7369977651003543,-0.7221917315044397,2.0,2.108554181617714
legal,partida_123.pgn,white,0,1262.9354838709678,72.0,9399798.318418315,9377.0,9148.0,0.03225806451612903,0.03225806451612903,0.16129032258064516,0.45161290322580644,1.0,65.4,99.5,3409.2727272727275,10298871.920915714,2.7817623411457397,-2.1648855283772233,2.0,1.2908550195159032
legal,partida_123.pgn,black,0,643.8064516129032,33.0,4982233.317377732,9170.0,214.0,0.25806451612903225,0.25806451612903225,0.3870967741935484,0.4838709677419355,2.0,52.1,36.2,1734.090909090909,2957625.7648283048,23.652685967913428,4.937455030160469,3.0,1.27578961254471
legal,partida_124.pgn,white,0,53.58974358974359,12.0,8540.19066403682,421.0,139.0,0.46153846153846156,0.46153846153846156,0.5641025641025641,0.717948717948718,3.0,31.692307692307693,38.07692307692308,91.0,79959.12557527941,0.5758095006631434,-1.2130581712376416,5.0,2.6570907814951235
legal,partida_124.pgn,black,0,299.4736842105263,14.5,2351368.880886426,9616.0,179.3000000000002,0.3684210526315789,0.3684210526315789,0.7631578947368421,0.9473684210526315,2.0,34.916666666666664,41.25,747.5714285714286,49081.706371191125,-0.41539022970641426,0.9481378966544982,5.0,2.8048704297804448
legal,partida_125.pgn,white,0,744.5526315789474,16.0,5475763.299861497,8797.0,423.3000000000013,0.3157894736842105,0.21052631578947367,0.3684210526315789,0.42105263157894735,2.0,69.08333333333333,102.5,1873.857142857143,14067407.510387814,0.5579513707205801,1.5687056655800278,9.0,1.5748574032413374
legal,partida_125.pgn,black,0,1025.5135135135135,50.0,7156353.3308984665,8794.0,4028.999999999989,0.1891891891891892,0.13513513513513514,0.32432432432432434,0.4594594594594595,2.0,84.75,164.41666666666666,2688.769230769231,17054558.46457268,-0.5950591726690209,-1.1655131952556201,4.0,1.6604929059226068
legal,partida_13.pgn,white,0,40.52,13.0,4979.0496,292.0,90.60000000000002,0.44,0.44,0.76,0.88,4.0,12.0,77.625,32.888888888888886,17087.6736,5.763910018288268,2.0950431483718943,2.0,2.226997804998561
legal,partida_13.pgn,black,0,65.79166666666667,28.5,11346.748263888889,477.0,186.59999999999994,0.25,0.25,0.6666666666666666,0.75,2.0,13.25,89.25,94.875,21322.901041666668,2.8258347747464354,-1.5168165364183739,2.0,2.1884515716307833
